epochs,train_loss,train_acc,train_precision,train_recall,train_f1,val_acc,val_precision,val_recall,val_f1
1,1.53,0.526,0,0,0,0.632,0,0,0
2,0.45,0.855,0,0,0,0.799,0,0,0
3,0.285,0.908,0,0,0,0.809,0,0,0
4,0.194,0.937,0,0,0,0.834,0,0,0
5,0.13,0.957,0,0,0,0.826,0,0,0
6,0.0895,0.97,0,0,0,0.83,0,0,0
7,0.062,0.979,0,0,0,0.82,0,0,0
8,0.0479,0.983,0,0,0,0.839,0,0,0
9,0.0373,0.988,0,0,0,0.839,0,0,0
10,0.0323,0.989,0,0,0,0.818,0,0,0
