epochs,train_loss,train_acc,val_acc
1,1.76708008829341,0.45448794723435837,0.6175018597416649
2,0.6222710916487633,0.7910376005802872,0.7345641441806993
3,0.38696313720168035,0.8715777399166681,0.8005004395753026
4,0.1411459655599129,0.9547662826200638,0.8353283289375804
5,0.07838054686078634,0.9765523523557295,0.8379657807533645
6,0.039774779145286834,0.9901823518496652,0.8285656319740312
7,0.014635717028710341,0.9973600310386127,0.830053425306012
8,0.011625076692408838,0.9978998329987686,0.8274836004598634
9,0.009495435856374636,0.9983299876857678,0.826604449854602
10,0.007680420777131666,0.9987770111840218,0.830053425306012
