epochs,train_loss,train_acc,val_acc
1,1.875561263918666,0.4334019331657698,0.7810238723202814
2,0.5208995796487323,0.8303166275872539,0.8723202813281937
3,0.32509880786894707,0.8959616065855839,0.9038344491783323
4,0.22931726166610922,0.9265278925794099,0.9041049570568743
5,0.16557862828119269,0.9462053609082168,0.9103266382633394
6,0.05455339768205623,0.9826841652468751,0.9281125312774735
7,0.029487267723002468,0.9909836203842716,0.9297355785487252
8,0.01680063487222284,0.9949477910291662,0.9273010076418475
9,0.008615133042903735,0.9978745297818863,0.9277067694596605
10,0.004886829351135726,0.9989203960796883,0.9274362615811186
