                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,0.5332,0.3158,0.89874,0.9242,0.91344,0.96064,0.78873,0.77189,0.48224,1.0565,0.00065942,0.00065942,0.00065942
2,0.5885,0.35717,0.91593,0.92915,0.89066,0.94512,0.75851,0.85513,0.55398,1.1118,0.0012998,0.0012998,0.0012998
3,0.62958,0.39641,0.93961,0.944,0.8656,0.9411,0.73743,0.85233,0.58285,1.1359,0.0019138,0.0019138,0.0019138
4,0.66577,0.41991,0.95592,0.93844,0.84738,0.93594,0.73316,0.89041,0.65747,1.1354,0.0018812,0.0018812,0.0018812
5,0.69123,0.43747,0.97245,0.90126,0.9148,0.94976,0.72668,0.85116,0.52594,1.0993,0.0018812,0.0018812,0.0018812
6,0.67707,0.41797,0.96427,0.91727,0.90205,0.94197,0.73115,0.82845,0.55026,1.0972,0.0018416,0.0018416,0.0018416
7,0.68695,0.4259,0.96244,0.90647,0.88311,0.93022,0.7405,0.82829,0.57316,1.0691,0.001802,0.001802,0.001802
8,0.68075,0.42385,0.96104,0.92769,0.87667,0.94374,0.73613,0.85387,0.58294,1.101,0.0017624,0.0017624,0.0017624
9,0.66575,0.40739,0.952,0.92189,0.88722,0.94057,0.72853,0.87679,0.57124,1.1055,0.0017228,0.0017228,0.0017228
10,0.67596,0.41732,0.96072,0.92838,0.88586,0.9443,0.7304,0.8413,0.5505,1.0804,0.0016832,0.0016832,0.0016832
11,0.67671,0.41752,0.96333,0.93433,0.88838,0.95031,0.7597,0.82767,0.53085,1.0886,0.0016436,0.0016436,0.0016436
12,0.66005,0.40507,0.9545,0.90096,0.91344,0.95262,0.7549,0.83086,0.52665,1.0959,0.001604,0.001604,0.001604
13,0.65279,0.41074,0.95082,0.93257,0.88216,0.93507,0.74644,0.83883,0.56056,1.0852,0.0015644,0.0015644,0.0015644
14,0.65177,0.41173,0.95251,0.90096,0.89749,0.94571,0.75406,0.82844,0.53665,1.0831,0.0015248,0.0015248,0.0015248
15,0.64734,0.39707,0.95181,0.93745,0.88383,0.94868,0.7597,0.8162,0.54576,1.0768,0.0014852,0.0014852,0.0014852
16,0.64555,0.3953,0.94709,0.92762,0.89522,0.94964,0.75783,0.81345,0.51673,1.0667,0.0014456,0.0014456,0.0014456
17,0.6366,0.38561,0.94198,0.94028,0.87244,0.93918,0.74805,0.79161,0.5546,1.0495,0.001406,0.001406,0.001406
18,0.63417,0.38578,0.94703,0.91416,0.91344,0.94972,0.76911,0.8024,0.53076,1.0798,0.0013664,0.0013664,0.0013664
19,0.61529,0.37789,0.93611,0.94007,0.85756,0.94731,0.75667,0.82577,0.57868,1.0805,0.0013268,0.0013268,0.0013268
20,0.61623,0.37985,0.93743,0.93907,0.8861,0.94745,0.75333,0.82161,0.54039,1.1091,0.0012872,0.0012872,0.0012872
21,0.59569,0.35845,0.92752,0.92702,0.89694,0.9461,0.75259,0.81066,0.52623,1.0692,0.0012476,0.0012476,0.0012476
22,0.60218,0.36865,0.93577,0.93116,0.89352,0.94885,0.75898,0.80864,0.52638,1.0801,0.001208,0.001208,0.001208
23,0.59524,0.35744,0.92521,0.93149,0.87472,0.94507,0.76821,0.81295,0.54152,1.0754,0.0011684,0.0011684,0.0011684
24,0.58129,0.35414,0.92208,0.93436,0.87472,0.93546,0.75826,0.81252,0.582,1.0847,0.0011288,0.0011288,0.0011288
25,0.59227,0.35334,0.93256,0.92527,0.87016,0.94965,0.76295,0.81655,0.56305,1.0901,0.0010892,0.0010892,0.0010892
26,0.57655,0.35185,0.92202,0.94095,0.87115,0.95067,0.76147,0.80656,0.55623,1.0775,0.0010496,0.0010496,0.0010496
27,0.57433,0.35344,0.92596,0.92356,0.88838,0.95202,0.76977,0.79778,0.56463,1.0622,0.00101,0.00101,0.00101
28,0.55885,0.33839,0.90957,0.91741,0.89294,0.94778,0.76602,0.79967,0.54116,1.0847,0.0009704,0.0009704,0.0009704
29,0.54699,0.33545,0.91263,0.92009,0.89066,0.95002,0.76797,0.79358,0.55482,1.0797,0.0009308,0.0009308,0.0009308
30,0.55391,0.33492,0.91346,0.91789,0.92027,0.9537,0.77642,0.79277,0.53115,1.066,0.0008912,0.0008912,0.0008912
31,0.53818,0.31962,0.90363,0.92851,0.90205,0.95379,0.78318,0.79212,0.53473,1.0672,0.0008516,0.0008516,0.0008516
32,0.53011,0.32103,0.90188,0.93131,0.87244,0.95107,0.77452,0.77696,0.52888,1.0628,0.000812,0.000812,0.000812
33,0.51509,0.30819,0.89456,0.94046,0.89955,0.96191,0.78524,0.77663,0.50594,1.0556,0.0007724,0.0007724,0.0007724
34,0.52175,0.30532,0.8982,0.93604,0.89066,0.94619,0.77674,0.78616,0.53519,1.0597,0.0007328,0.0007328,0.0007328
35,0.51623,0.31967,0.90489,0.95062,0.87707,0.95338,0.77943,0.7883,0.52788,1.0705,0.0006932,0.0006932,0.0006932
36,0.51319,0.30386,0.90184,0.94402,0.89522,0.95112,0.77509,0.79656,0.5503,1.09,0.0006536,0.0006536,0.0006536
37,0.50317,0.30361,0.89021,0.92986,0.87574,0.94685,0.76405,0.79892,0.54633,1.0887,0.000614,0.000614,0.000614
38,0.50561,0.2988,0.89144,0.91683,0.90394,0.9571,0.77889,0.7855,0.53329,1.0708,0.0005744,0.0005744,0.0005744
39,0.4877,0.30382,0.89858,0.92679,0.89401,0.96059,0.77776,0.79436,0.51932,1.0778,0.0005348,0.0005348,0.0005348
40,0.48275,0.28899,0.88551,0.93631,0.88838,0.94968,0.78003,0.78153,0.53055,1.0854,0.0004952,0.0004952,0.0004952
41,0.43884,0.25014,0.85765,0.95476,0.86532,0.94037,0.76692,0.786,0.59473,1.0837,0.0004556,0.0004556,0.0004556
42,0.42894,0.24375,0.84908,0.94734,0.86051,0.94807,0.77739,0.78307,0.55175,1.0663,0.000416,0.000416,0.000416
43,0.41636,0.24078,0.84498,0.94015,0.8861,0.94858,0.78554,0.76433,0.54532,1.0606,0.0003764,0.0003764,0.0003764
44,0.4138,0.23758,0.84208,0.91968,0.90205,0.95036,0.78086,0.7723,0.54802,1.0618,0.0003368,0.0003368,0.0003368
45,0.40901,0.23755,0.84511,0.93795,0.87927,0.94682,0.7711,0.77395,0.56915,1.0628,0.0002972,0.0002972,0.0002972
46,0.39861,0.22733,0.83943,0.94592,0.87662,0.95093,0.78145,0.77074,0.5369,1.062,0.0002576,0.0002576,0.0002576
47,0.39745,0.22487,0.84521,0.93925,0.89522,0.94826,0.785,0.77441,0.5436,1.0566,0.000218,0.000218,0.000218
48,0.39472,0.22582,0.84279,0.93502,0.88501,0.94949,0.78735,0.76174,0.52289,1.0576,0.0001784,0.0001784,0.0001784
49,0.38104,0.21761,0.83635,0.92822,0.89977,0.94984,0.78747,0.76468,0.54142,1.0619,0.0001388,0.0001388,0.0001388
50,0.37766,0.21631,0.83383,0.92937,0.89925,0.95028,0.78808,0.76506,0.53641,1.0633,9.92E-05,9.92E-05,9.92E-05
