epochs,train_loss,train_acc,val_acc
1,1.610016110194275,0.5074222769521431,0.6770135930208967
2,0.458773401988745,0.8504495538199424,0.8115236356258876
3,0.28126625044132436,0.9086385182436194,0.8099682153242713
4,0.18452058470557767,0.9393481891331118,0.8247108947048083
5,0.12148293827736543,0.9599197044584268,0.8165956583485494
6,0.024230867951007783,0.9926451982928763,0.8508825319537432
7,0.006247913807850755,0.9985745854489634,0.8180834516805302
8,0.0012587347154836318,0.9997469678311769,0.8295124095489281
9,0.00011284325940393205,0.9999915655943725,0.8213971731926692
10,9.291795841517808e-06,1.0,0.8242375059173599
