epochs,train_loss,train_acc,val_acc
1,1.6,0.511,0.708
2,0.447,0.855,0.772
3,0.281,0.91,0.81
4,0.188,0.939,0.84
5,0.127,0.958,0.847
6,0.028,0.992,0.866
7,0.00859,0.998,0.863
8,0.00217,1.0,0.869
9,0.000491,1.0,0.866
10,3.73e-05,1.0,0.878
